"Iteration","Algorithm","Metric","mean","se"
1,"stray","Fmeasure",0,0
1,"lookoutNew","Fmeasure",0,0
1,"lookoutOld","Fmeasure",0,0
1,"HDoutliers","Fmeasure",0,0
2,"stray","Fmeasure",0,0
2,"lookoutNew","Fmeasure",0,0
2,"lookoutOld","Fmeasure",0,0
2,"HDoutliers","Fmeasure",0,0
3,"stray","Fmeasure",0,0
3,"lookoutNew","Fmeasure",0,0
3,"lookoutOld","Fmeasure",0,0
3,"HDoutliers","Fmeasure",0,0
4,"stray","Fmeasure",0,0
4,"lookoutNew","Fmeasure",0,0
4,"lookoutOld","Fmeasure",0.0285714285714286,0.0202030508910442
4,"HDoutliers","Fmeasure",0,0
5,"stray","Fmeasure",0,0
5,"lookoutNew","Fmeasure",0.04,0.0282842712474619
5,"lookoutOld","Fmeasure",0.05,0.0353553390593274
5,"HDoutliers","Fmeasure",0,0
6,"stray","Fmeasure",0,0
6,"lookoutNew","Fmeasure",0.0619047619047619,0.0292899080749935
6,"lookoutOld","Fmeasure",0.0535714285714286,0.0253238659359317
6,"HDoutliers","Fmeasure",0,0
7,"stray","Fmeasure",0,0
7,"lookoutNew","Fmeasure",0,0
7,"lookoutOld","Fmeasure",0,0
7,"HDoutliers","Fmeasure",0,0
8,"stray","Fmeasure",0,0
8,"lookoutNew","Fmeasure",0.0333333333333333,0.0235702260395516
8,"lookoutOld","Fmeasure",0.0535714285714286,0.0253238659359317
8,"HDoutliers","Fmeasure",0,0
9,"stray","Fmeasure",0,0
9,"lookoutNew","Fmeasure",0.0535714285714286,0.0253238659359317
9,"lookoutOld","Fmeasure",0,0
9,"HDoutliers","Fmeasure",0,0
10,"stray","Fmeasure",0,0
10,"lookoutNew","Fmeasure",0.105555555555556,0.0407617790797317
10,"lookoutOld","Fmeasure",0.0983333333333333,0.0362795218229748
10,"HDoutliers","Fmeasure",0,0
11,"stray","Fmeasure",0,0
11,"lookoutNew","Fmeasure",0.146031746031746,0.0350885812308767
11,"lookoutOld","Fmeasure",0.225238095238095,0.045125311929891
11,"HDoutliers","Fmeasure",0,0
12,"stray","Fmeasure",0,0
12,"lookoutNew","Fmeasure",0.138333333333333,0.0409776361771475
12,"lookoutOld","Fmeasure",0.113015873015873,0.0343731330502788
12,"HDoutliers","Fmeasure",0,0
13,"stray","Fmeasure",0,0
13,"lookoutNew","Fmeasure",0.178571428571429,0.0438487574494009
13,"lookoutOld","Fmeasure",0.267619047619048,0.0334532988633033
13,"HDoutliers","Fmeasure",0,0
14,"stray","Fmeasure",0,0
14,"lookoutNew","Fmeasure",0.237619047619048,0.0396522106320958
14,"lookoutOld","Fmeasure",0.213809523809524,0.0344272504814394
14,"HDoutliers","Fmeasure",0,0
15,"stray","Fmeasure",0,0
15,"lookoutNew","Fmeasure",0.29984126984127,0.0296251177592727
15,"lookoutOld","Fmeasure",0.342142857142857,0.0125789269364386
15,"HDoutliers","Fmeasure",0,0
16,"stray","Fmeasure",0,0
16,"lookoutNew","Fmeasure",0.310238095238095,0.0417584401258418
16,"lookoutOld","Fmeasure",0.381904761904762,0.038714542779495
16,"HDoutliers","Fmeasure",0,0
17,"stray","Fmeasure",0,0
17,"lookoutNew","Fmeasure",0.340238095238095,0.0110726374716908
17,"lookoutOld","Fmeasure",0.425238095238095,0.0259418210640837
17,"HDoutliers","Fmeasure",0,0
18,"stray","Fmeasure",0,0
18,"lookoutNew","Fmeasure",0.326031746031746,0.0326516334616887
18,"lookoutOld","Fmeasure",0.387142857142857,0.0194082916256079
18,"HDoutliers","Fmeasure",0,0
19,"stray","Fmeasure",0,0
19,"lookoutNew","Fmeasure",0.344761904761905,0.0266515452213528
19,"lookoutOld","Fmeasure",0.418571428571429,0.0267188171090097
19,"HDoutliers","Fmeasure",0,0
20,"stray","Fmeasure",0,0
20,"lookoutNew","Fmeasure",0.377142857142857,0.0290070407869872
20,"lookoutOld","Fmeasure",0.443333333333333,0.0225119995437276
20,"HDoutliers","Fmeasure",0,0
1,"stray","Gmean",0,0
1,"lookoutNew","Gmean",0,0
1,"lookoutOld","Gmean",0,0
1,"HDoutliers","Gmean",0,0
2,"stray","Gmean",0,0
2,"lookoutNew","Gmean",0,0
2,"lookoutOld","Gmean",0,0
2,"HDoutliers","Gmean",0,0
3,"stray","Gmean",0,0
3,"lookoutNew","Gmean",0,0
3,"lookoutOld","Gmean",0,0
3,"HDoutliers","Gmean",0,0
4,"stray","Gmean",0,0
4,"lookoutNew","Gmean",0,0
4,"lookoutOld","Gmean",0.0994977366536465,0.0703555243005068
4,"HDoutliers","Gmean",0,0
5,"stray","Gmean",0,0
5,"lookoutNew","Gmean",0.0996989456289235,0.0704978005313607
5,"lookoutOld","Gmean",0.0997993979925699,0.0705688310788813
5,"HDoutliers","Gmean",0,0
6,"stray","Gmean",0,0
6,"lookoutNew","Gmean",0.199096128605318,0.0938548300893891
