"Run","Algorithm","value"
29,"lookoutOld",0.0600000000000023
29,"HDoutliers",0.0100000000000051
29,"kdeos",0.173000000000002
29,"rdos",2.55
30,"stray",0.027000000000001
30,"lookoutNew",0.0750000000000028
30,"lookoutOld",0.0579999999999927
30,"HDoutliers",0.0100000000000051
30,"kdeos",0.167000000000002
30,"rdos",2.352
31,"stray",0.0300000000000011
31,"lookoutNew",0.0790000000000077
31,"lookoutOld",0.0600000000000023
31,"HDoutliers",0.0109999999999957
31,"kdeos",0.174999999999997
31,"rdos",2.407
32,"stray",0.0330000000000013
32,"lookoutNew",0.0779999999999887
32,"lookoutOld",0.0589999999999975
32,"HDoutliers",0.0109999999999957
32,"kdeos",0.173000000000002
32,"rdos",2.30099999999999
33,"stray",0.0259999999999962
33,"lookoutNew",0.0789999999999935
33,"lookoutOld",0.0640000000000072
33,"HDoutliers",0.0109999999999957
33,"kdeos",0.174999999999997
33,"rdos",2.36999999999999
34,"stray",0.0319999999999965
34,"lookoutNew",0.0799999999999983
34,"lookoutOld",0.063999999999993
34,"HDoutliers",0.0109999999999957
34,"kdeos",0.194999999999993
34,"rdos",2.322
35,"stray",0.0240000000000009
35,"lookoutNew",0.0720000000000027
35,"lookoutOld",0.0520000000000067
35,"HDoutliers",0.0109999999999957
35,"kdeos",0.168999999999997
35,"rdos",2.256
36,"stray",0.0289999999999964
36,"lookoutNew",0.0849999999999937
36,"lookoutOld",0.0630000000000024
36,"HDoutliers",0.00999999999999091
36,"kdeos",0.176999999999992
36,"rdos",3.04199999999999
37,"stray",0.0250000000000057
37,"lookoutNew",0.0840000000000032
37,"lookoutOld",0.0629999999999882
37,"HDoutliers",0.0120000000000005
37,"kdeos",0.204000000000008
37,"rdos",2.51400000000001
38,"stray",0.0289999999999964
38,"lookoutNew",0.0840000000000032
38,"lookoutOld",0.0740000000000123
38,"HDoutliers",0.0120000000000005
38,"kdeos",0.186000000000007
38,"rdos",2.56
39,"stray",0.02800000000002
39,"lookoutNew",0.0929999999999893
39,"lookoutOld",0.0699999999999932
39,"HDoutliers",0.0120000000000005
39,"kdeos",0.195999999999998
39,"rdos",2.62199999999999
40,"stray",0.02800000000002
40,"lookoutNew",0.0759999999999934
40,"lookoutOld",0.0660000000000025
40,"HDoutliers",0.0130000000000052
40,"kdeos",0.191000000000003
40,"rdos",2.489
41,"stray",0.025999999999982
41,"lookoutNew",0.0819999999999936
41,"lookoutOld",0.0670000000000073
41,"HDoutliers",0.0109999999999957
41,"kdeos",0.177999999999997
41,"rdos",2.68199999999999
42,"stray",0.0269999999999868
42,"lookoutNew",0.106999999999999
42,"lookoutOld",0.0819999999999936
42,"HDoutliers",0.0209999999999866
42,"kdeos",0.242999999999995
42,"rdos",2.851
43,"stray",0.0360000000000014
43,"lookoutNew",0.0790000000000077
43,"lookoutOld",0.0699999999999932
43,"HDoutliers",0.0109999999999957
43,"kdeos",0.175999999999988
43,"rdos",2.81
44,"stray",0.0370000000000061
44,"lookoutNew",0.0769999999999982
44,"lookoutOld",0.0670000000000073
44,"HDoutliers",0.0169999999999959
44,"kdeos",0.182000000000016
44,"rdos",2.55600000000001
45,"stray",0.0310000000000059
45,"lookoutNew",0.0889999999999986
45,"lookoutOld",0.0720000000000027
45,"HDoutliers",0.0150000000000148
45,"kdeos",0.174000000000007
45,"rdos",2.60299999999998
46,"stray",0.032999999999987
46,"lookoutNew",0.0910000000000082
46,"lookoutOld",0.0690000000000168
46,"HDoutliers",0.0149999999999864
46,"kdeos",0.210999999999984
46,"rdos",3.101
47,"stray",0.115000000000009
47,"lookoutNew",0.085000000000008
47,"lookoutOld",0.0579999999999927
47,"HDoutliers",0.0150000000000148
47,"kdeos",0.227000000000004
47,"rdos",2.39600000000002
48,"stray",0.0379999999999825
48,"lookoutNew",0.0949999999999989
48,"lookoutOld",0.0750000000000171
48,"HDoutliers",0.0100000000000193
