"Iteration","Algorithm","Metric","mean","se"
1,"stray","Fmeasure",0,0
1,"lookoutNew","Fmeasure",0.0181818181818182,0.0181818181818182
1,"lookoutOld","Fmeasure",0.0348484848484848,0.0232597554336757
1,"HDoutliers","Fmeasure",0,0
2,"stray","Fmeasure",0,0
2,"lookoutNew","Fmeasure",0.0166666666666667,0.0166666666666667
2,"lookoutOld","Fmeasure",0.0604040404040404,0.0309038088838617
2,"HDoutliers","Fmeasure",0,0
3,"stray","Fmeasure",0,0
3,"lookoutNew","Fmeasure",0.0785858585858586,0.0322733200495662
3,"lookoutOld","Fmeasure",0.0831818181818182,0.0343779164385994
3,"HDoutliers","Fmeasure",0,0
4,"stray","Fmeasure",0,0
4,"lookoutNew","Fmeasure",0.423838383838384,0.0490083966605426
4,"lookoutOld","Fmeasure",0.331991341991342,0.0504776663661332
4,"HDoutliers","Fmeasure",0,0
5,"stray","Fmeasure",0,0
5,"lookoutNew","Fmeasure",0.732121212121212,0.0521528714782196
5,"lookoutOld","Fmeasure",0.447777777777778,0.0898718795425482
5,"HDoutliers","Fmeasure",0,0
6,"stray","Fmeasure",0,0
6,"lookoutNew","Fmeasure",0.834819624819625,0.038024102947939
6,"lookoutOld","Fmeasure",0.558737373737374,0.0560941169394794
6,"HDoutliers","Fmeasure",0,0
7,"stray","Fmeasure",0,0
7,"lookoutNew","Fmeasure",0.954242424242424,0.0247441762386385
7,"lookoutOld","Fmeasure",0.669834054834055,0.0583108854979888
7,"HDoutliers","Fmeasure",0,0
8,"stray","Fmeasure",0,0
8,"lookoutNew","Fmeasure",0.981818181818182,0.0121212121212121
8,"lookoutOld","Fmeasure",0.760959595959596,0.0514044523734572
8,"HDoutliers","Fmeasure",0,0
9,"stray","Fmeasure",0.0333333333333333,0.0333333333333333
9,"lookoutNew","Fmeasure",0.981818181818182,0.0121212121212121
9,"lookoutOld","Fmeasure",0.848282828282828,0.0419085216227799
9,"HDoutliers","Fmeasure",0,0
10,"stray","Fmeasure",0,0
10,"lookoutNew","Fmeasure",0.965151515151515,0.0189040073456696
10,"lookoutOld","Fmeasure",0.831616161616162,0.024151555285148
10,"HDoutliers","Fmeasure",0,0
1,"stray","Gmean",0,0
1,"lookoutNew","Gmean",0.0444409720865779,0.0444409720865779
1,"lookoutOld","Gmean",0.0888256541289222,0.0592171176158541
1,"HDoutliers","Gmean",0,0
2,"stray","Gmean",0,0
2,"lookoutNew","Gmean",0.0443846820423443,0.0443846820423443
2,"lookoutOld","Gmean",0.133491501829043,0.0679705973519487
2,"HDoutliers","Gmean",0,0
3,"stray","Gmean",0,0
3,"lookoutNew","Gmean",0.177932473915621,0.0726406946906537
3,"lookoutOld","Gmean",0.178044769978117,0.072686587394435
3,"HDoutliers","Gmean",0,0
4,"stray","Gmean",0,0
4,"lookoutNew","Gmean",0.635854351544451,0.0379169320459371
4,"lookoutOld","Gmean",0.533814030326537,0.0383588046195088
4,"HDoutliers","Gmean",0,0
5,"stray","Gmean",0,0
5,"lookoutNew","Gmean",0.862374567272499,0.0388874525915933
5,"lookoutOld","Gmean",0.595723131836094,0.106830057253667
5,"HDoutliers","Gmean",0,0
6,"stray","Gmean",0,0
6,"lookoutNew","Gmean",0.919943247917032,0.0359852139571273
6,"lookoutOld","Gmean",0.709732520915699,0.0398326342402356
6,"HDoutliers","Gmean",0,0
7,"stray","Gmean",0,0
7,"lookoutNew","Gmean",0.98895545423,0.0106307183238753
7,"lookoutOld","Gmean",0.788526055625134,0.0424613021209612
7,"HDoutliers","Gmean",0,0
8,"stray","Gmean",0,0
8,"lookoutNew","Gmean",0.999749843554382,0.000166770963745474
8,"lookoutOld","Gmean",0.875865901766652,0.0337621124314237
8,"HDoutliers","Gmean",0,0
9,"stray","Gmean",0.0447213595499958,0.0447213595499958
9,"lookoutNew","Gmean",0.999749843554382,0.000166770963745474
9,"lookoutOld","Gmean",0.934101628632692,0.024504302084311
9,"HDoutliers","Gmean",0,0
10,"stray","Gmean",0,0
10,"lookoutNew","Gmean",0.999499530270682,0.000276684474612541
10,"lookoutOld","Gmean",0.923503335843267,0.023432144792899
10,"HDoutliers","Gmean",0,0
1,"kdeos","AUC",0.62705,0.0424202814438775
1,"lookoutNew","AUC",0.587275,0.0307553845782418
1,"lookoutOld","AUC",0.597375,0.0334610106857386
1,"rdos","AUC",0.6541,0.0483311953550131
2,"kdeos","AUC",0.68325,0.0153145265098932
2,"lookoutNew","AUC",0.73885,0.0277405189008585
2,"lookoutOld","AUC",0.7647,0.0440001388886697
2,"rdos","AUC",0.8139,0.0136248955143802
3,"kdeos","AUC",0.72115,0.0288619366794553
3,"lookoutNew","AUC",0.809025,0.0288426634711691
3,"lookoutOld","AUC",0.747125,0.0401086068970517
3,"rdos","AUC",0.84035,0.0254216716383657
4,"kdeos","AUC",0.70685,0.0351627209476804
4,"lookoutNew","AUC",0.96425,0.0146365220519691
4,"lookoutOld","AUC",0.923725,0.029859449695383
4,"rdos","AUC",0.93095,0.0167954110796174
5,"kdeos","AUC",0.68645,0.0273302284821933
5,"lookoutNew","AUC",0.99695,0.000831497978884429
5,"lookoutOld","AUC",0.987,0.00228521820013368
5,"rdos","AUC",0.94665,0.0174193458864307
6,"kdeos","AUC",0.5569,0.0241187801423612
6,"lookoutNew","AUC",0.99905,0.000383333333333334
6,"lookoutOld","AUC",0.9889,0.0030566866593312
6,"rdos","AUC",0.92345,0.0265509416028886
7,"kdeos","AUC",0.5115,0.0297157833108565
7,"lookoutNew","AUC",0.9999,1e-04
7,"lookoutOld","AUC",0.9946,0.00101050042608161
7,"rdos","AUC",0.8651,0.0508539193289083
8,"kdeos","AUC",0.4615,0.0246718463030232
8,"lookoutNew","AUC",1,0
8,"lookoutOld","AUC",0.9966,0.0010770329614269
8,"rdos","AUC",0.80365,0.0523385905002757
9,"kdeos","AUC",0.45805,0.0231167868297766
9,"lookoutNew","AUC",1,0
9,"lookoutOld","AUC",0.99865,0.000471699056602828
9,"rdos","AUC",0.80615,0.0559707785862905
10,"kdeos","AUC",0.411,0.00811548588262657
10,"lookoutNew","AUC",1,0
10,"lookoutOld","AUC",0.99855,0.000320156211871638
10,"rdos","AUC",0.77285,0.0591823007513414
