"Run","Algorithm","value"
1,"stray",0.0140000000000002
1,"lookoutNew",0.371
1,"lookoutOld",0.23
1,"HDoutliers",0.012
1,"kdeos",0.324
1,"rdos",9.6
2,"stray",0.0409999999999986
2,"lookoutNew",0.247
2,"lookoutOld",0.244
2,"HDoutliers",0.0120000000000005
2,"kdeos",0.325000000000001
2,"rdos",9.212
3,"stray",0.0440000000000005
3,"lookoutNew",0.227999999999998
3,"lookoutOld",0.222000000000001
3,"HDoutliers",0.0150000000000006
3,"kdeos",0.447000000000003
3,"rdos",9.898
4,"stray",0.0720000000000027
4,"lookoutNew",0.323
4,"lookoutOld",0.237000000000002
4,"HDoutliers",0.0140000000000029
4,"kdeos",0.437999999999995
4,"rdos",9.587
5,"stray",0.054000000000002
5,"lookoutNew",0.236000000000004
5,"lookoutOld",0.220999999999997
5,"HDoutliers",0.0110000000000028
5,"kdeos",0.363
5,"rdos",10.631
6,"stray",0.0479999999999947
6,"lookoutNew",0.234000000000002
6,"lookoutOld",0.231999999999999
6,"HDoutliers",0.0110000000000028
6,"kdeos",0.357999999999997
6,"rdos",9.611
7,"stray",0.0520000000000067
7,"lookoutNew",0.236000000000004
7,"lookoutOld",0.232000000000014
7,"HDoutliers",0.012999999999991
7,"kdeos",0.337999999999994
7,"rdos",9.35799999999999
8,"stray",0.0480000000000018
8,"lookoutNew",0.236999999999995
8,"lookoutOld",0.230999999999995
8,"HDoutliers",0.0120000000000005
8,"kdeos",0.349999999999994
8,"rdos",10.511
9,"stray",0.0529999999999973
9,"lookoutNew",0.228999999999999
9,"lookoutOld",0.224000000000004
9,"HDoutliers",0.0130000000000052
9,"kdeos",0.35499999999999
9,"rdos",10.245
10,"stray",0.0490000000000066
10,"lookoutNew",0.243000000000009
10,"lookoutOld",0.254999999999995
10,"HDoutliers",0.0189999999999912
10,"kdeos",0.390000000000001
10,"rdos",10.694
11,"stray",0.0470000000000113
11,"lookoutNew",0.236999999999995
11,"lookoutOld",0.23299999999999
11,"HDoutliers",0.0180000000000007
11,"kdeos",0.394000000000005
11,"rdos",9.274
12,"stray",0.046999999999997
12,"lookoutNew",0.256
12,"lookoutOld",0.231999999999999
12,"HDoutliers",0.0130000000000052
12,"kdeos",0.348000000000013
12,"rdos",10.003
13,"stray",0.0500000000000114
13,"lookoutNew",0.234999999999985
13,"lookoutOld",0.22999999999999
13,"HDoutliers",0.0120000000000005
13,"kdeos",0.355999999999995
13,"rdos",9.25900000000001
14,"stray",0.0420000000000016
14,"lookoutNew",0.22999999999999
14,"lookoutOld",0.226999999999975
14,"HDoutliers",0.0109999999999957
14,"kdeos",0.348000000000013
14,"rdos",10.582
15,"stray",0.0640000000000214
15,"lookoutNew",0.253000000000014
15,"lookoutOld",0.25200000000001
15,"HDoutliers",0.0130000000000052
15,"kdeos",0.356000000000023
15,"rdos",9.39000000000001
16,"stray",0.0490000000000066
16,"lookoutNew",0.228999999999985
16,"lookoutOld",0.269999999999982
16,"HDoutliers",0.0229999999999961
16,"kdeos",0.443999999999988
16,"rdos",11.675
17,"stray",0.0509999999999877
17,"lookoutNew",0.301999999999992
17,"lookoutOld",0.282000000000011
17,"HDoutliers",0.0139999999999816
17,"kdeos",0.343999999999994
17,"rdos",11.929
18,"stray",0.0440000000000111
18,"lookoutNew",0.240999999999985
18,"lookoutOld",0.283999999999992
18,"HDoutliers",0.018999999999977
18,"kdeos",0.384999999999991
18,"rdos",9.929
19,"stray",0.0480000000000018
19,"lookoutNew",0.25
19,"lookoutOld",0.234999999999985
19,"HDoutliers",0.0109999999999957
19,"kdeos",0.509999999999991
19,"rdos",10.789
20,"stray",0.0480000000000018
20,"lookoutNew",0.239000000000004
20,"lookoutOld",0.238
20,"HDoutliers",0.01400000000001
20,"kdeos",0.382000000000005
20,"rdos",10.646
21,"stray",0.0500000000000114
21,"lookoutNew",0.230000000000018
21,"lookoutOld",0.230999999999995
21,"HDoutliers",0.00999999999999091
21,"kdeos",0.349000000000018
21,"rdos",9.57400000000001
22,"stray",0.0440000000000111
22,"lookoutNew",0.224999999999994
22,"lookoutOld",0.225999999999999
22,"HDoutliers",0.0120000000000005
22,"kdeos",0.338999999999999
22,"rdos",8.92400000000001
23,"stray",0.0440000000000396
23,"lookoutNew",0.223000000000013
23,"lookoutOld",0.218999999999994
23,"HDoutliers",0.0110000000000241
23,"kdeos",0.329000000000008
23,"rdos",9.49700000000001
24,"stray",0.0459999999999923
24,"lookoutNew",0.225000000000023
24,"lookoutOld",0.233000000000004
24,"HDoutliers",0.0110000000000241
24,"kdeos",0.33299999999997
24,"rdos",9.21299999999997
25,"stray",0.0430000000000064
25,"lookoutNew",0.231000000000051
25,"lookoutOld",0.225000000000023
25,"HDoutliers",0.0110000000000241
25,"kdeos",0.330000000000041
25,"rdos",9.13900000000001
26,"stray",0.0430000000000064
26,"lookoutNew",0.225000000000023
26,"lookoutOld",0.228999999999985
26,"HDoutliers",0.0109999999999673
26,"kdeos",0.368999999999971
26,"rdos",9.31999999999999
27,"stray",0.049000000000035
